"","ery1","ery2","ery3","ebMac1","ebMac2","ebMac3","spMac1","spMac2"
"Frg1",902.398510706265,855.671069151513,969.090364467003,145.452950593342,149.252650896523,154.101855784285,364.100500703621,224.020487297443
"Frk",0,0,0,1.22229370246505,0.888408636288829,0,0,0
"Frmd3",0,0,0,0,0.296136212096276,0,0,7.22646733217559
"Frmd4a",7763.11370921015,8151.73659771823,7787.71627776104,367.095541973672,357.732544212302,375.330046875074,252.84756993307,563.664451909696
"Frmd4b",0,0,0,53.3734916743074,68.9997374184324,55.2168242037369,1582.82578778102,1242.9523811342
"Frmd5",6.21629284068609,2.79936009537027,1.12881812983926,2.44458740493011,3.25749833305904,3.96983703425559,0,0
"Frmd6",0,0,0,23.6310115809911,30.5020298459165,20.5709737229608,20.2278055946456,108.397009982634
"Frmd7",0,0,0,46.0397294595171,36.7208902999383,41.8637359976044,0,0
"Frmd8",649.602601851697,684.910103333926,609.561790113199,327.16728102648,366.61663057519,320.83501122302,166.879396155826,267.379291290497
"Frmpd1",1.03604880678102,3.73248012716036,5.64409064919629,7.74119344894535,8.29181393869574,6.49609696514552,0,0
"Frmpd3",0,0,0,0,0,0,0,0
"Frmpd4",0,0,0,0,0,0.360894275841418,0,0
"Frrs1",215.498151810451,207.1526470574,208.266944955343,342.64966792437,338.187554213948,338.157936463408,247.790618534408,310.73809528355
"Frs2",1819.30170470746,1953.95334656845,2030.74381558083,313.314619065209,302.355072550298,289.798103500658,30.3417083919684,72.2646733217559
"Frs3",0,0.93312003179009,0,4.07431234155018,5.62658802982925,3.60894275841418,0,21.6794019965268
"Fry",0,0,0,112.04358939263,162.282644228759,123.064948061923,0,14.4529346643512
"Fryl",17055.4354572291,17245.9244275444,17390.0076992387,1203.95929692808,1290.26547610348,1137.17786317631,268.018424129054,231.246954629619
"Frzb",0,0,0,0,1.18454484838511,0.721788551682835,5.0569513986614,0
"Fsbp",1.03604880678102,9.3312003179009,3.9508634544374,3.25944987324015,3.55363454515532,4.33073131009701,0,14.4529346643512
"Fscb",0,0,0,0,0,0,0,0
"Fscn1",0,0,0,141.378638251791,230.690109222999,145.440393164091,15.1708541959842,36.1323366608779
"Fscn2",3.10814642034305,0,1.69322719475889,0.814862468310037,0.592272424192553,1.08268282752425,0,0
"Fscn3",1.03604880678102,7.46496025432072,6.77290877903555,2.03715617077509,2.07295348467393,0.721788551682835,0,0
"Fsd1",0,0,0,0,0.888408636288829,0,0,0
"Fsd1l",0,0,0,6.11146851232527,7.40340530240691,6.1352026893041,30.3417083919684,0
"Fsd2",0,1.86624006358018,0.564409064919629,2.03715617077509,0.592272424192553,2.88715420673134,318.587938115668,252.926356626146
